region,genepc1
AVI_L,-1.0256349
AAIC_L,
FOP1_L,-1.0413213
FOP3_L,-0.85992485
FOP2_L,-0.8205931
PFt_L,0.19119671
AIP_L,0.1687218
EC_L,
PreS_L,
H_L,
ProS_L,1.1675035
PeEc_L,
STGa_L,-1.5220363
PBelt_L,0.38750255
A5_L,-0.3980802
PHA1_L,0.27078143
PHA3_L,-0.4968315
STSda_L,-0.9617869
STSdp_L,-0.30906472
STSvp_L,-0.49151996
TGd_L,
TE1a_L,-1.2517667
TE1p_L,-0.6367931
TE2a_L,-1.1804402
TF_L,-1.4043195
TE2p_L,-0.77931356
PHT_L,-0.22354157
PH_L,0.12284137
TPOJ1_L,0.08847435
TPOJ2_L,0.30320215
TPOJ3_L,0.5950206
DVT_L,1.086193
PGp_L,0.45967823
IP2_L,0.17456844
IP1_L,0.5395281
IP0_L,0.8919867
PFop_L,0.27910152
PF_L,-0.109877005
PFm_L,0.05758214
PGi_L,0.10080078
PGs_L,0.23619574
V6A_L,0.79541075
VMV1_L,1.1706371
VMV3_L,0.6193886
PHA2_L,-0.5374375
V4t_L,1.0659877
FST_L,0.17355624
V3CD_L,1.1183926
LO3_L,0.7611749
VMV2_L,0.6716014
31pd_L,0.13487554
31a_L,0.08592716
VVC_L,0.70112425
25_L,
s32_L,-1.8133332
pOFC_L,
PoI1_L,-0.7364633
Ig_L,-0.15282366
FOP5_L,-0.9938646
p10p_L,-0.5122402
p47r_L,-0.51048136
TGv_L,-1.6947465
MBelt_L,0.06875488
LBelt_L,0.62302476
A4_L,-0.0015455366
STSva_L,-1.1297181
TE1m_L,-1.033504
PI_L,-1.3799113
a32pr_L,-1.6094351
p24_L,-1.7900286
V1_R,2.1426625
MST_R,0.3385986
V6_R,1.1802367
V2_R,1.937569
V3_R,1.8666499
V4_R,1.5667249
V8_R,0.955512
4_R,0.8248103
3b_R,1.1034683
FEF_R,-0.0138337165
PEF_R,-0.07836413
55b_R,0.047991972
V3A_R,1.4096189
RSC_R,
POS2_R,0.85885024
V7_R,0.9272988
IPS1_R,0.6619023
FFC_R,0.24281487
V3B_R,1.046715
LO1_R,1.2728441
LO2_R,1.3100454
PIT_R,1.2157183
MT_R,0.60817236
A1_R,0.4215028
PSL_R,-0.18357863
SFL_R,-0.27289572
PCV_R,0.3849671
STV_R,0.081422456
7Pm_R,0.4586113
7m_R,0.35475588
POS1_R,0.72281855
23d_R,-0.48703054
v23ab_R,0.27527338
d23ab_R,0.009508496
31pv_R,0.030617466
5m_R,0.98163056
5mv_R,0.2296578
23c_R,-0.16780724
5L_R,0.6522432
24dd_R,-0.28095394
24dv_R,-0.78983337
7AL_R,0.35048047
SCEF_R,-0.33234218
6ma_R,-0.37785935
7Am_R,0.2700118
7Pl_R,0.45816308
7PC_R,0.37683722
LIPv_R,0.514717
VIP_R,0.4032813
MIP_R,0.6104569
1_R,0.9819114
2_R,0.7142346
3a_R,1.0232974
6d_R,0.5772052
6mp_R,0.10004784
6v_R,-0.007845921
p24pr_R,-0.9432452
33pr_R,-1.3549379
a24pr_R,-1.5126107
p32pr_R,-1.1555893
a24_R,-1.9234802
d32_R,-1.5261242
8BM_R,-0.77283734
p32_R,-1.58708
10r_R,-1.3484457
47m_R,-0.30711585
8Av_R,-0.3323094
8Ad_R,-0.5498169
9m_R,-1.2059644
8BL_R,-0.5584479
9p_R,-0.68696845
10d_R,-0.9664848
8C_R,-0.1653022
44_R,-0.5940849
45_R,-0.5869536
47l_R,-0.44565666
a47r_R,-0.5074261
6r_R,-0.52676004
IFJa_R,-0.1355141
IFJp_R,-0.15493298
IFSp_R,-0.26454365
IFSa_R,-0.45233002
p9-46v_R,-0.334423
46_R,-0.6354354
a9-46v_R,-0.54303896
9-46d_R,-0.5579935
9a_R,-0.53796905
10v_R,-1.2558862
a10p_R,-0.6209913
10pp_R,-0.8773705
11l_R,-0.71194845
13l_R,-1.1308876
OFC_R,-1.5507544
47s_R,-1.3430482
LIPd_R,0.3765953
6a_R,-0.2778394
i6-8_R,-0.35020697
s6-8_R,-0.5180868
43_R,-0.30527145
OP4_R,0.31629795
OP1_R,0.26847488
OP2-3_R,-0.22382289
52_R,-0.04249936
RI_R,0.66587365
PFcm_R,0.5309146
PoI2_R,-1.1520927
TA2_R,-0.9858394
FOP4_R,-1.2431152
MI_R,-1.3160226
Pir_R,
AVI_R,-1.0598735
AAIC_R,-1.5220759
FOP1_R,-1.1395857
FOP3_R,-1.0559005
FOP2_R,-0.8590205
PFt_R,0.4451245
AIP_R,0.18229194
EC_R,
PreS_R,
H_R,
ProS_R,0.56124485
PeEc_R,
STGa_R,-1.4971541
PBelt_R,0.28054166
A5_R,-0.4839938
PHA1_R,0.046466302
PHA3_R,-0.5990388
STSda_R,-1.1920851
STSdp_R,-0.3654075
STSvp_R,-0.58171076
TGd_R,-1.874911
TE1a_R,-1.3205502
TE1p_R,-0.7386697
TE2a_R,-1.2423966
TF_R,-1.4237453
TE2p_R,-0.7916707
PHT_R,-0.42682347
PH_R,0.0057539525
TPOJ1_R,0.105415486
TPOJ2_R,0.0049913563
TPOJ3_R,0.5233594
DVT_R,0.9615604
PGp_R,0.39129698
IP2_R,0.0680495
IP1_R,0.3799118
IP0_R,0.562246
PFop_R,0.4737855
PF_R,-0.056126907
PFm_R,-0.05455559
PGi_R,-0.021881433
PGs_R,0.108423635
V6A_R,0.5896355
VMV1_R,1.0010731
VMV3_R,0.6300775
PHA2_R,-0.5463658
V4t_R,1.0092932
FST_R,0.09427803
V3CD_R,0.98484415
LO3_R,0.87557626
VMV2_R,0.36585712
31pd_R,0.190824
31a_R,0.05633388
VVC_R,0.35313445
25_R,
s32_R,-1.9320081
pOFC_R,
PoI1_R,-0.76712316
Ig_R,-0.3372573
FOP5_R,-0.98143137
p10p_R,-0.47218886
p47r_R,-0.48506287
TGv_R,-1.8566002
MBelt_R,0.11852864
LBelt_R,0.6213016
A4_R,-0.1523144
STSva_R,-1.1244205
TE1m_R,-1.0868392
PI_R,-1.2119944
a32pr_R,-1.4998882
p24_R,-1.7663267
