region,meggamma1
9a_L,0.029574998
10v_L,0.030152123
a10p_L,0.034447584
10pp_L,0.03274884
11l_L,0.028660463
13l_L,0.026086425
OFC_L,0.025642548
47s_L,0.030334013
LIPd_L,0.01798418
6a_L,0.023952981
i6-8_L,0.025255488
s6-8_L,0.02470731
43_L,0.022419477
OP4_L,0.01995821
OP1_L,0.017447654
OP2-3_L,0.02097931
52_L,0.019262364
RI_L,0.016863015
PFcm_L,0.017010462
PoI2_L,0.020769535
TA2_L,0.022817241
FOP4_L,0.024176762
MI_L,0.022370381
Pir_L,0.022398297
AVI_L,0.02496484
AAIC_L,0.022936754
FOP1_L,0.021791114
FOP3_L,0.023991125
FOP2_L,0.02175688
PFt_L,0.0212578
AIP_L,0.018342258
EC_L,0.022357209
PreS_L,0.021236306
H_L,0.022202931
ProS_L,0.022946332
PeEc_L,0.022630278
STGa_L,0.025976878
PBelt_L,0.018496046
A5_L,0.018045288
PHA1_L,0.021553768
PHA3_L,0.019166816
STSda_L,0.020494785
STSdp_L,0.016685417
STSvp_L,0.019666031
TGd_L,0.02783957
TE1a_L,0.022061273
TE1p_L,0.01840844
TE2a_L,0.020087613
TF_L,0.021644225
TE2p_L,0.018601298
PHT_L,0.017371327
PH_L,0.018514873
TPOJ1_L,0.01682642
TPOJ2_L,0.016316913
TPOJ3_L,0.016439378
DVT_L,0.018586256
PGp_L,0.016610004
IP2_L,0.01819817
IP1_L,0.017398916
IP0_L,0.017155949
PFop_L,0.021036422
PF_L,0.019906916
PFm_L,0.018993078
PGi_L,0.016461702
PGs_L,0.017976038
V6A_L,0.018385882
VMV1_L,0.021098653
VMV3_L,0.017904537
PHA2_L,0.020254282
V4t_L,0.02054225
FST_L,0.018317169
V3CD_L,0.016870657
LO3_L,0.017631931
VMV2_L,0.019645248
31pd_L,0.01999473
31a_L,0.022307746
VVC_L,0.019752486
25_L,0.024534734
s32_L,0.026124515
pOFC_L,0.02474402
PoI1_L,0.02078015
Ig_L,0.020740595
FOP5_L,0.025777895
p10p_L,0.03203594
p47r_L,0.030001603
TGv_L,0.023668788
MBelt_L,0.0196872
LBelt_L,0.016967522
A4_L,0.018354567
STSva_L,0.022193054
TE1m_L,0.019753844
PI_L,0.025691517
a32pr_L,0.023929061
p24_L,0.024273755
V1_R,0.01625308
MST_R,0.017836435
V6_R,0.016775649
V2_R,0.01734384
V3_R,0.016982948
V4_R,0.016980665
V8_R,0.01654308
4_R,0.024522528
3b_R,0.022958914
FEF_R,0.025423547
PEF_R,0.024321243
55b_R,0.025594315
V3A_R,0.017533582
RSC_R,0.025551856
POS2_R,0.017728308
V7_R,0.018235838
IPS1_R,0.018607136
FFC_R,0.017603034
V3B_R,0.016883386
LO1_R,0.017187176
LO2_R,0.019468905
PIT_R,0.017933177
MT_R,0.016967362
A1_R,0.01683516
PSL_R,0.019707661
SFL_R,0.027724385
PCV_R,0.019644804
STV_R,0.017211638
7Pm_R,0.01949712
7m_R,0.019131443
POS1_R,0.020954547
23d_R,0.02623089
v23ab_R,0.022070155
d23ab_R,0.022746831
31pv_R,0.021576278
5m_R,0.023888351
5mv_R,0.02286083
23c_R,0.023493726
5L_R,0.02393526
24dd_R,0.024337694
24dv_R,0.024561312
7AL_R,0.022042466
SCEF_R,0.02517483
6ma_R,0.026308581
7Am_R,0.020844521
7Pl_R,0.020176945
7PC_R,0.02051866
LIPv_R,0.019062202
VIP_R,0.020446649
MIP_R,0.01920114
1_R,0.02387292
2_R,0.021198142
3a_R,0.023074867
6d_R,0.025644336
6mp_R,0.025762659
6v_R,0.026355637
p24pr_R,0.025973517
33pr_R,0.024027724
a24pr_R,0.024846578
p32pr_R,0.024311427
a24_R,0.025900505
d32_R,0.026233528
8BM_R,0.026501345
p32_R,0.029814506
10r_R,0.03304667
47m_R,0.027039565
8Av_R,0.026902728
8Ad_R,0.026646124
9m_R,0.031178538
8BL_R,0.028047912
9p_R,0.030048547
10d_R,0.036742132
8C_R,0.026190711
44_R,0.027137298
45_R,0.026363371
47l_R,0.027025836
a47r_R,0.031472936
6r_R,0.025731318
IFJa_R,0.026864514
IFJp_R,0.025156712
IFSp_R,0.03003744
IFSa_R,0.030978931
p9-46v_R,0.030779162
46_R,0.03121254
a9-46v_R,0.03478383
9-46d_R,0.032188922
9a_R,0.03333228
10v_R,0.031364605
a10p_R,0.03693853
10pp_R,0.03364498
11l_R,0.029706115
13l_R,0.02674324
OFC_R,0.026395855
47s_R,0.031191707
LIPd_R,0.017872225
6a_R,0.024580544
i6-8_R,0.026681969
s6-8_R,0.025849719
43_R,0.023122441
OP4_R,0.02004641
OP1_R,0.017812962
OP2-3_R,0.021456009
52_R,0.018268416
RI_R,0.017303383
PFcm_R,0.017472578
PoI2_R,0.021530442
TA2_R,0.024963485
FOP4_R,0.025636658
MI_R,0.023156477
Pir_R,0.024636459
AVI_R,0.026522914
AAIC_R,0.025844673
FOP1_R,0.02357975
FOP3_R,0.025784036
FOP2_R,0.023826778
PFt_R,0.021248043
AIP_R,0.018336473
EC_R,0.023537347
PreS_R,0.020390188
H_R,0.022172514
ProS_R,0.022745598
PeEc_R,0.023218524
STGa_R,0.028703455
PBelt_R,0.020339936
A5_R,0.018056998
PHA1_R,0.021310234
PHA3_R,0.018217858
STSda_R,0.022505451
STSdp_R,0.017291319
STSvp_R,0.020426797
TGd_R,0.029680433
TE1a_R,0.022626923
TE1p_R,0.01816687
TE2a_R,0.021026943
TF_R,0.021524586
TE2p_R,0.017989524
PHT_R,0.016729748
PH_R,0.017635375
TPOJ1_R,0.016819293
TPOJ2_R,0.015648361
TPOJ3_R,0.015576345
DVT_R,0.018410599
PGp_R,0.016204124
IP2_R,0.018077306
IP1_R,0.017633831
IP0_R,0.017404573
PFop_R,0.02076455
PF_R,0.020269457
PFm_R,0.018879296
PGi_R,0.016513914
PGs_R,0.017842673
V6A_R,0.018065754
VMV1_R,0.02100415
VMV3_R,0.017470492
PHA2_R,0.019722551
V4t_R,0.019683309
FST_R,0.018028716
V3CD_R,0.016151376
LO3_R,0.016613696
VMV2_R,0.019797498
31pd_R,0.020230655
31a_R,0.02072045
VVC_R,0.02009644
25_R,0.02490084
s32_R,0.026734633
pOFC_R,0.025582904
PoI1_R,0.021824513
Ig_R,0.022147171
FOP5_R,0.026592948
p10p_R,0.03516756
p47r_R,0.03080111
TGv_R,0.025499254
MBelt_R,0.020063587
LBelt_R,0.017400663
A4_R,0.018468583
STSva_R,0.021957612
TE1m_R,0.020102983
PI_R,0.026769126
a32pr_R,0.024518616
p24_R,0.024825973
